month,active_repositories,org_name
2022-11,8,rubygems
2022-12,7,rubygems
2023-01,9,rubygems
2023-02,11,rubygems
2023-03,9,rubygems
2023-04,10,rubygems
2023-05,8,rubygems
2023-06,9,rubygems
2023-07,11,rubygems
2023-08,10,rubygems
2023-09,9,rubygems
2023-10,9,rubygems
2023-11,12,rubygems
2023-12,11,rubygems
2024-01,14,rubygems
2024-02,10,rubygems
2024-03,8,rubygems
2024-04,6,rubygems
2014-06,1,rustls
2014-07,1,rustls
2014-08,1,rustls
2014-09,1,rustls
2014-10,1,rustls
2014-11,1,rustls
2014-12,1,rustls
2015-01,1,rustls
2015-02,1,rustls
2015-03,1,rustls
2015-04,1,rustls
2015-05,1,rustls
2015-06,1,rustls
2015-07,1,rustls
2015-08,2,rustls
2015-09,2,rustls
2015-10,2,rustls
2015-11,1,rustls
2015-12,2,rustls
2016-01,2,rustls
2016-02,2,rustls
2016-03,1,rustls
2016-04,1,rustls
2016-05,3,rustls
2016-06,3,rustls
2016-07,3,rustls
2016-08,4,rustls
2016-09,3,rustls
2016-10,5,rustls
2016-11,4,rustls
2016-12,5,rustls
2017-01,5,rustls
2017-02,6,rustls
2017-03,4,rustls
2017-04,6,rustls
2017-05,6,rustls
2017-06,6,rustls
2017-07,6,rustls
2017-08,8,rustls
2017-09,5,rustls
2017-10,2,rustls
2017-11,3,rustls
2017-12,6,rustls
2018-01,5,rustls
2018-02,3,rustls
2018-03,4,rustls
2018-04,4,rustls
2018-05,5,rustls
2018-06,7,rustls
2018-07,8,rustls
2018-08,4,rustls
2018-09,4,rustls
2018-10,4,rustls
2018-11,4,rustls
2018-12,4,rustls
2019-01,9,rustls
2019-02,4,rustls
2019-03,5,rustls
2019-04,5,rustls
2019-05,4,rustls
2019-06,4,rustls
2019-07,9,rustls
2019-08,7,rustls
2019-09,5,rustls
2019-10,6,rustls
2019-11,6,rustls
2019-12,5,rustls
2020-01,7,rustls
2020-02,7,rustls
2020-03,5,rustls
2020-04,4,rustls
2020-05,5,rustls
2020-06,8,rustls
2020-07,5,rustls
2020-08,4,rustls
2020-09,4,rustls
2020-10,5,rustls
2020-11,9,rustls
2020-12,9,rustls
2021-01,7,rustls
2021-02,7,rustls
2021-03,4,rustls
2021-04,9,rustls
2021-05,5,rustls
2021-06,5,rustls
2021-07,4,rustls
2021-08,3,rustls
2021-09,7,rustls
2021-10,9,rustls
2021-11,5,rustls
2021-12,7,rustls
2022-01,4,rustls
2022-02,5,rustls
2022-03,6,rustls
2022-04,8,rustls
2022-05,5,rustls
2022-06,5,rustls
2022-07,6,rustls
2022-08,6,rustls
2022-09,8,rustls
2022-10,7,rustls
2022-11,6,rustls
2022-12,10,rustls
2023-01,7,rustls
2023-02,8,rustls
2023-03,13,rustls
2023-04,10,rustls
2023-05,10,rustls
2023-06,9,rustls
2023-07,8,rustls
2023-08,12,rustls
2023-09,14,rustls
2023-10,12,rustls
2023-11,14,rustls
2023-12,14,rustls
2024-01,8,rustls
2024-02,12,rustls
2024-03,12,rustls
2024-04,10,rustls
2012-01,3,systemd
2012-02,3,systemd
2012-03,3,systemd
2012-04,3,systemd
2012-05,3,systemd
2012-06,5,systemd
2012-07,6,systemd
2012-08,5,systemd
2012-09,6,systemd
2012-10,3,systemd
2012-11,3,systemd
2012-12,4,systemd
2013-01,5,systemd
2013-02,5,systemd
2013-03,6,systemd
2013-04,5,systemd
2013-05,5,systemd
2013-06,4,systemd
2013-07,7,systemd
2013-08,5,systemd
2013-09,6,systemd
2013-10,5,systemd
2013-11,5,systemd
2013-12,6,systemd
2014-01,5,systemd
2014-02,5,systemd
2014-03,5,systemd
2014-04,4,systemd
2014-05,6,systemd
2014-06,6,systemd
2014-07,6,systemd
2014-08,6,systemd
2014-09,4,systemd
2014-10,4,systemd
2014-11,5,systemd
2014-12,5,systemd
2015-01,5,systemd
2015-02,4,systemd
2015-03,5,systemd
2015-04,5,systemd
2015-05,4,systemd
2015-06,4,systemd
2015-07,6,systemd
2015-08,6,systemd
2015-09,4,systemd
2015-10,6,systemd
2015-11,3,systemd
2015-12,6,systemd
2016-01,4,systemd
2016-02,6,systemd
2016-03,5,systemd
2016-04,5,systemd
2016-05,5,systemd
2016-06,5,systemd
2016-07,6,systemd
