time_period,org_name,running_total_open_issues,release_count,unique_contributors,avg_commits_per_contributor,average_closure_days,unique_pull_requests,open_pull_requests,closed_pull_requests,treated
2018-09-01,tc39,1375.0,,4.0,251.83333333333331,276.0758041116612,149.0,1.0,148.0,0
2018-10-01,tc39,1393.0,,5.0,129.45283018867926,175.5131538820931,184.0,3.0,181.0,0
2018-11-01,tc39,1459.0,,2.0,43.0377358490566,202.52117684042068,144.0,0.0,144.0,0
2018-12-01,tc39,1528.0,,4.0,278.25531914893617,210.28710482804232,99.0,1.0,98.0,0
2019-01-01,tc39,1537.0,,1.0,17.32,181.93409076062255,260.0,2.0,258.0,0
2019-02-01,tc39,1579.0,,2.0,29.338461538461537,240.1774908693416,77.0,0.0,77.0,0
2019-03-01,tc39,1617.0,,,16.98507462686567,216.43847653413215,160.0,1.0,159.0,0
2019-04-01,tc39,1611.0,,1.0,11.659090909090908,198.5484301093262,109.0,7.0,102.0,0
2019-05-01,tc39,1632.0,,1.0,24.58333333333333,136.7330144335512,174.0,0.0,174.0,0
2019-06-01,tc39,1645.0,,2.0,8.851851851851851,188.087613893814,170.0,5.0,165.0,0
2019-07-01,tc39,1691.0,,2.0,15.86842105263158,176.0665582912458,178.0,4.0,174.0,0
2019-08-01,tc39,1713.0,,,214.0566037735849,161.8320999525166,118.0,1.0,117.0,0
2019-09-01,tc39,1714.0,,,13.01639344262295,139.79332243217056,141.0,1.0,140.0,0
2019-10-01,tc39,1737.0,,1.0,23.50793650793651,130.33298516241652,203.0,5.0,198.0,0
2019-11-01,tc39,1756.0,,1.0,19.789473684210527,196.9637630029721,152.0,4.0,148.0,0
2019-12-01,tc39,1772.0,,1.0,5.735294117647059,110.49924520502644,90.0,2.0,88.0,0
2020-01-01,tc39,1778.0,,2.0,24.163636363636364,135.9915154145623,132.0,0.0,132.0,0
2020-02-01,tc39,1796.0,,3.0,25.032258064516128,142.76145305907173,168.0,2.0,166.0,0
