month,unique_contributors,org_name
2023-03,288,prefix-dev
2023-04,286,prefix-dev
2023-05,278,prefix-dev
2023-06,291,prefix-dev
2023-07,289,prefix-dev
2023-08,330,prefix-dev
2023-09,327,prefix-dev
2023-10,339,prefix-dev
2023-11,368,prefix-dev
2023-12,355,prefix-dev
2024-01,393,prefix-dev
2024-02,361,prefix-dev
2024-03,365,prefix-dev
2024-04,255,prefix-dev
2012-02,1,pyca
2012-03,1,pyca
2012-04,1,pyca
2012-09,1,pyca
2013-02,2,pyca
2013-03,4,pyca
2013-04,2,pyca
2013-05,1,pyca
2013-08,6,pyca
2013-09,5,pyca
2013-10,11,pyca
2013-11,8,pyca
2013-12,8,pyca
2014-01,12,pyca
2014-02,21,pyca
2014-03,17,pyca
2014-04,19,pyca
2014-05,14,pyca
2014-06,20,pyca
2014-07,13,pyca
2014-08,8,pyca
2014-09,11,pyca
2014-10,9,pyca
2014-11,9,pyca
2014-12,12,pyca
2015-01,10,pyca
2015-02,8,pyca
2015-03,12,pyca
2015-04,22,pyca
2015-05,19,pyca
2015-06,18,pyca
2015-07,9,pyca
2015-08,16,pyca
2015-09,13,pyca
2015-10,15,pyca
2015-11,6,pyca
2015-12,12,pyca
2016-01,15,pyca
2016-02,7,pyca
2016-03,9,pyca
2016-04,10,pyca
2016-05,6,pyca
2016-06,10,pyca
2016-07,13,pyca
2016-08,12,pyca
2016-09,8,pyca
2016-10,7,pyca
2016-11,14,pyca
2016-12,12,pyca
2017-01,13,pyca
2017-02,11,pyca
2017-03,8,pyca
2017-04,7,pyca
2017-05,8,pyca
2017-06,11,pyca
2017-07,5,pyca
2017-08,7,pyca
2017-09,5,pyca
2017-10,8,pyca
2017-11,7,pyca
2017-12,4,pyca
2018-01,8,pyca
2018-02,9,pyca
2018-03,12,pyca
2018-04,12,pyca
2018-05,12,pyca
2018-06,9,pyca
2018-07,8,pyca
2018-08,9,pyca
2018-09,4,pyca
2018-10,10,pyca
2018-11,4,pyca
2018-12,11,pyca
2019-01,9,pyca
2019-02,9,pyca
2019-03,8,pyca
2019-04,7,pyca
2019-05,10,pyca
2019-06,7,pyca
2019-07,7,pyca
2019-08,4,pyca
2019-09,3,pyca
2019-10,10,pyca
2019-11,8,pyca
2019-12,4,pyca
2020-01,5,pyca
2020-02,1,pyca
2020-03,9,pyca
2020-04,5,pyca
2020-05,11,pyca
2020-06,9,pyca
2020-07,12,pyca
2020-08,12,pyca
2020-09,4,pyca
2020-10,11,pyca
2020-11,9,pyca
2020-12,6,pyca
2021-01,8,pyca
2021-02,15,pyca
2021-03,7,pyca
2021-04,11,pyca
2021-05,8,pyca
2021-06,9,pyca
2021-07,5,pyca
2021-08,11,pyca
2021-09,11,pyca
2021-10,12,pyca
2021-11,11,pyca
2021-12,6,pyca
2022-01,8,pyca
2022-02,10,pyca
2022-03,9,pyca
2022-04,11,pyca
2022-05,10,pyca
2022-06,11,pyca
2022-07,9,pyca
2022-08,11,pyca
2022-09,9,pyca
2022-10,7,pyca
2022-11,9,pyca
2022-12,14,pyca
2023-01,4,pyca
2023-02,11,pyca
2023-03,12,pyca
2023-04,5,pyca
2023-05,10,pyca
2023-06,10,pyca
2023-07,11,pyca
2023-08,11,pyca
2023-09,9,pyca
2023-10,7,pyca
2023-11,9,pyca
2023-12,10,pyca
2024-01,12,pyca
2024-02,6,pyca
2024-03,8,pyca
2024-04,7,pyca
2012-01,3,qos-ch
2012-02,2,qos-ch
2012-03,3,qos-ch
2012-04,7,qos-ch
2012-05,8,qos-ch
2012-06,10,qos-ch
2012-07,8,qos-ch
2012-08,6,qos-ch
2012-09,8,qos-ch
2012-10,3,qos-ch
2012-11,2,qos-ch
2012-12,4,qos-ch
2013-01,10,qos-ch
2013-02,9,qos-ch
2013-03,10,qos-ch
2013-04,12,qos-ch
2013-05,5,qos-ch
2013-06,4,qos-ch
2013-07,7,qos-ch
2013-08,3,qos-ch
2013-09,17,qos-ch
2013-10,8,qos-ch
2013-11,7,qos-ch
2013-12,15,qos-ch
2014-01,4,qos-ch
2014-02,7,qos-ch
2014-03,6,qos-ch
2014-04,9,qos-ch
2014-05,4,qos-ch
2014-06,3,qos-ch
2014-07,5,qos-ch
2014-08,5,qos-ch
2014-09,6,qos-ch
2014-10,5,qos-ch
2014-11,3,qos-ch
2014-12,14,qos-ch
2015-01,8,qos-ch
2015-02,4,qos-ch
2015-03,9,qos-ch
2015-04,13,qos-ch
2015-05,2,qos-ch
2015-06,4,qos-ch
2015-07,5,qos-ch
2015-09,2,qos-ch
2015-10,2,qos-ch
2015-11,3,qos-ch
2015-12,3,qos-ch
2016-01,3,qos-ch
2016-02,6,qos-ch
2016-03,6,qos-ch
2016-04,5,qos-ch
2016-05,4,qos-ch
2016-06,2,qos-ch
2016-09,1,qos-ch
2016-11,4,qos-ch
2016-12,2,qos-ch
2017-01,3,qos-ch
2017-02,4,qos-ch
2017-03,6,qos-ch
2017-04,2,qos-ch
2017-06,2,qos-ch
2017-10,3,qos-ch
2017-11,2,qos-ch
2017-12,1,qos-ch
2018-01,2,qos-ch
2018-02,2,qos-ch
2018-03,4,qos-ch
2018-05,2,qos-ch
2018-06,1,qos-ch
2018-07,1,qos-ch
2018-08,1,qos-ch
2018-09,1,qos-ch
2019-02,2,qos-ch
2019-03,2,qos-ch
2019-04,2,qos-ch
2019-05,1,qos-ch
2019-06,1,qos-ch
2019-07,3,qos-ch
2019-08,4,qos-ch
2019-09,1,qos-ch
2019-10,2,qos-ch
2019-11,1,qos-ch
2019-12,2,qos-ch
2020-01,1,qos-ch
2020-02,1,qos-ch
2020-08,1,qos-ch
2020-10,1,qos-ch
2021-02,1,qos-ch
2021-03,1,qos-ch
2021-06,3,qos-ch
2021-07,1,qos-ch
2021-08,11,qos-ch
2021-09,1,qos-ch
2021-11,1,qos-ch
2021-12,1,qos-ch
2022-01,7,qos-ch
2022-02,5,qos-ch
2022-03,4,qos-ch
2022-04,7,qos-ch
2022-05,5,qos-ch
2022-06,3,qos-ch
2022-07,4,qos-ch
2022-08,7,qos-ch
2022-09,7,qos-ch
2022-10,3,qos-ch
2022-11,7,qos-ch
2022-12,5,qos-ch
2023-01,1,qos-ch
2023-02,3,qos-ch
2023-03,4,qos-ch
2023-04,4,qos-ch
2023-05,2,qos-ch
2023-06,2,qos-ch
2023-07,4,qos-ch
2023-08,5,qos-ch
2023-09,2,qos-ch
2023-10,2,qos-ch
2023-11,1,qos-ch
2023-12,2,qos-ch
2024-01,3,qos-ch
2024-02,4,qos-ch
2024-03,3,qos-ch
2024-04,3,qos-ch
2012-01,30,rubygems
2012-02,18,rubygems
2012-03,31,rubygems
2012-04,18,rubygems
2012-05,26,rubygems
2012-06,21,rubygems
2012-07,21,rubygems
